REF_DATE,housing
1981-01-01,38.2
1981-02-01,38.7
1981-03-01,39.3
1981-04-01,39.9
1981-05-01,40.6
1981-06-01,40.8
1981-07-01,40.8
1981-08-01,40.6
1981-09-01,40.4
1981-10-01,40.3
1981-11-01,40.2
1981-12-01,40.3
1982-01-01,40.3
1982-02-01,40.3
1982-03-01,40.1
1982-04-01,39.9
1982-05-01,39.6
1982-06-01,39.3
1982-07-01,39
1982-08-01,38.8
1982-09-01,38.4
1982-10-01,38.3
1982-11-01,38
1982-12-01,37.9
1983-01-01,37.9
1983-02-01,37.9
1983-03-01,37.8
1983-04-01,37.8
1983-05-01,37.7
1983-06-01,37.8
1983-07-01,37.8
1983-08-01,38
1983-09-01,38
1983-10-01,37.9
1983-11-01,38
1983-12-01,37.9
1984-01-01,38
1984-02-01,38
1984-03-01,38.1
1984-04-01,38.2
1984-05-01,38.2
1984-06-01,38.1
1984-07-01,38.1
1984-08-01,38
1984-09-01,37.9
1984-10-01,37.9
1984-11-01,37.8
1984-12-01,37.9
1985-01-01,38
1985-02-01,38
1985-03-01,38.1
1985-04-01,38.1
1985-05-01,38.1
1985-06-01,38.3
1985-07-01,38.4
1985-08-01,38.5
1985-09-01,38.8
1985-10-01,38.9
1985-11-01,39.2
1985-12-01,39.3
1986-01-01,39.8
1986-02-01,40.3
1986-03-01,40.6
1986-04-01,40.8
1986-05-01,41.1
1986-06-01,41.3
1986-07-01,41.6
1986-08-01,42
1986-09-01,42.8
1986-10-01,43.2
1986-11-01,43.8
1986-12-01,44
1987-01-01,44.4
1987-02-01,45.2
1987-03-01,46.6
1987-04-01,47.1
1987-05-01,47.5
1987-06-01,47.7
1987-07-01,48
1987-08-01,48.2
1987-09-01,48.7
1987-10-01,48.9
1987-11-01,49.1
1987-12-01,49.1
1988-01-01,49.3
1988-02-01,49.8
1988-03-01,50.3
1988-04-01,51.2
1988-05-01,51.9
1988-06-01,52.3
1988-07-01,52.5
1988-08-01,53
1988-09-01,53.9
1988-10-01,54.3
1988-11-01,55
1988-12-01,55.8
1989-01-01,56.3
1989-02-01,57.7
1989-03-01,58.6
1989-04-01,59.1
1989-05-01,59.3
1989-06-01,59.6
1989-07-01,59.8
1989-08-01,59.8
1989-09-01,60.1
1989-10-01,60.4
1989-11-01,60.8
1989-12-01,61.1
1990-01-01,61.7
1990-02-01,61.8
1990-03-01,61.9
1990-04-01,61.8
1990-05-01,61.5
1990-06-01,60.8
1990-07-01,60.4
1990-08-01,59.8
1990-09-01,59
1990-10-01,58.6
1990-11-01,58
1990-12-01,57.8
1991-01-01,56.9
1991-02-01,55.8
1991-03-01,56
1991-04-01,55.8
1991-05-01,56.2
1991-06-01,56.2
1991-07-01,56.3
1991-08-01,56.2
1991-09-01,56.2
1991-10-01,56.2
1991-11-01,55.9
1991-12-01,55.9
